activity subject variable value
3 17 average_mean_X                0.293918283
3 18 average_mean_X                0.288439469
3 19 average_mean_X                0.262688054
3 20 average_mean_X                0.296144421
3 21 average_mean_X                0.301461020
3 22 average_mean_X                0.284458964
3 23 average_mean_X                0.289897411
3 24 average_mean_X                0.288631209
3 25 average_mean_X                0.291329666
3 26 average_mean_X                0.279284583
3 27 average_mean_X                0.297544188
3 28 average_mean_X                0.293642077
3 29 average_mean_X                0.293140441
3 30 average_mean_X                0.283190647
4  1 average_mean_X                0.261237565
4  2 average_mean_X                0.277087352
4  3 average_mean_X                0.257197599
4  4 average_mean_X                0.271538280
4  5 average_mean_X                0.273694140
4  6 average_mean_X                0.276778487
4  7 average_mean_X                0.284674637
4  8 average_mean_X                0.267491473
4  9 average_mean_X                0.248326744
4 10 average_mean_X                0.270612056
4 11 average_mean_X                0.276590197
4 12 average_mean_X                0.275007225
4 13 average_mean_X                0.274328500
4 14 average_mean_X                0.279990577
4 15 average_mean_X                0.272903380
4 16 average_mean_X                0.280768574
4 17 average_mean_X                0.277357020
4 18 average_mean_X                0.277270019
4 19 average_mean_X                0.273830316
4 20 average_mean_X                0.278045439
4 21 average_mean_X                0.277539617
4 22 average_mean_X                0.273583823
4 23 average_mean_X                0.273351252
4 24 average_mean_X                0.273475690
4 25 average_mean_X                0.278541482
4 26 average_mean_X                0.258243530
4 27 average_mean_X                0.273941303
4 28 average_mean_X                0.276977629
4 29 average_mean_X                0.277179978
4 30 average_mean_X                0.268336081
5  1 average_mean_X                0.278917629
5  2 average_mean_X                0.277911472
5  3 average_mean_X                0.280046513
5  4 average_mean_X                0.280499746
5  5 average_mean_X                0.282544391
5  6 average_mean_X                0.280346249
5  7 average_mean_X                0.282723539
5  8 average_mean_X                0.279620986
5  9 average_mean_X                0.282310057
5 10 average_mean_X                0.276650301
5 11 average_mean_X                0.277715563
5 12 average_mean_X                0.277405835
5 13 average_mean_X                0.277758431
5 14 average_mean_X                0.280545614
5 15 average_mean_X                0.278915804
5 16 average_mean_X                0.283497403
5 17 average_mean_X                0.277942503
5 18 average_mean_X                0.278458806
5 19 average_mean_X                0.278172260
5 20 average_mean_X                0.278076905
5 21 average_mean_X                0.276952243
5 22 average_mean_X                0.279053862
5 23 average_mean_X                0.277899323
5 24 average_mean_X                0.280348884
5 25 average_mean_X                0.278013702
5 26 average_mean_X                0.281127035
5 27 average_mean_X                0.279566922
5 28 average_mean_X                0.277795069
5 29 average_mean_X                0.277965066
5 30 average_mean_X                0.277112699
6  1 average_mean_X                0.221598244
6  2 average_mean_X                0.281373404
6  3 average_mean_X                0.275516853
6  4 average_mean_X                0.263559215
6  5 average_mean_X                0.278334326
6  6 average_mean_X                0.248656520
6  7 average_mean_X                0.250176694
6  8 average_mean_X                0.261254283
6  9 average_mean_X                0.259195537
6 10 average_mean_X                0.280230574
6 11 average_mean_X                0.280592971
6 12 average_mean_X                0.260113433
6 13 average_mean_X                0.276716360
6 14 average_mean_X                0.233275440
6 15 average_mean_X                0.289475653
6 16 average_mean_X                0.274227163
6 17 average_mean_X                0.269780086
6 18 average_mean_X                0.274691577
6 19 average_mean_X                0.272653733
6 20 average_mean_X                0.239507882
6 21 average_mean_X                0.271325472
6 22 average_mean_X                0.279959721
6 23 average_mean_X                0.274038008
6 24 average_mean_X                0.272850495
6 25 average_mean_X                0.250791829
6 26 average_mean_X                0.271645865
6 27 average_mean_X                0.274102492
6 28 average_mean_X                0.275913483
6 29 average_mean_X                0.287295197
6 30 average_mean_X                0.281033901
1  1 average_mean_Y               -0.017383819
1  2 average_mean_Y               -0.018594920
1  3 average_mean_Y               -0.017176784
1  4 average_mean_Y               -0.014839948
1  5 average_mean_Y               -0.017285032
1  6 average_mean_Y               -0.016895419
1  7 average_mean_Y               -0.018653665
1  8 average_mean_Y               -0.018662887
1  9 average_mean_Y               -0.018089197
1 10 average_mean_Y               -0.017022351
1 11 average_mean_Y               -0.016647583
1 12 average_mean_Y               -0.015560928
1 13 average_mean_Y               -0.018566065
1 14 average_mean_Y               -0.021778538
1 15 average_mean_Y               -0.017080974
1 16 average_mean_Y               -0.020428693
1 17 average_mean_Y               -0.018487540
1 18 average_mean_Y               -0.017802363
1 19 average_mean_Y               -0.019177359
1 20 average_mean_Y               -0.021199992
1 21 average_mean_Y               -0.018161032
1 22 average_mean_Y               -0.016721361
1 23 average_mean_Y               -0.018361871
1 24 average_mean_Y               -0.022544640
1 25 average_mean_Y               -0.018647762
1 26 average_mean_Y               -0.015425959
1 27 average_mean_Y               -0.016647878
1 28 average_mean_Y               -0.015675972
1 29 average_mean_Y               -0.016291560
1 30 average_mean_Y               -0.017588039
2  1 average_mean_Y               -0.023953149
2  2 average_mean_Y               -0.021412113
2  3 average_mean_Y               -0.032410941
2  4 average_mean_Y               -0.031980430
2  5 average_mean_Y               -0.032526976
2  6 average_mean_Y               -0.027242539
2  7 average_mean_Y               -0.027563901
2  8 average_mean_Y               -0.028241514
2  9 average_mean_Y               -0.019510110
2 10 average_mean_Y               -0.014385492
2 11 average_mean_Y               -0.030315782
2 12 average_mean_Y               -0.026357490
2 13 average_mean_Y               -0.027739225
2 14 average_mean_Y               -0.020438818
2 15 average_mean_Y               -0.028752386
2 16 average_mean_Y               -0.014365495
2 17 average_mean_Y               -0.022864561
2 18 average_mean_Y               -0.022206068
2 19 average_mean_Y               -0.030398662
2 20 average_mean_Y               -0.028225805
2 21 average_mean_Y               -0.023721870
2 22 average_mean_Y               -0.026862256
2 23 average_mean_Y               -0.032384403
2 24 average_mean_Y               -0.025197943
2 25 average_mean_Y               -0.026986352
2 26 average_mean_Y               -0.028163380
2 27 average_mean_Y               -0.020095332
2 28 average_mean_Y               -0.027944394
2 29 average_mean_Y               -0.029946531
2 30 average_mean_Y               -0.025331170
3  1 average_mean_Y               -0.009918505
3  2 average_mean_Y               -0.022661416
3  3 average_mean_Y               -0.019355408
3  4 average_mean_Y               -0.009802009
3  5 average_mean_Y               -0.008501075
3  6 average_mean_Y               -0.019536840
3  7 average_mean_Y               -0.016633237
3  8 average_mean_Y               -0.021105867
3  9 average_mean_Y               -0.020399427
3 10 average_mean_Y               -0.020005077
3 11 average_mean_Y               -0.017809772
3 12 average_mean_Y               -0.018084267
3 13 average_mean_Y               -0.014372384
3 14 average_mean_Y               -0.020014141
3 15 average_mean_Y               -0.005630478
3 16 average_mean_Y               -0.018389858
3 17 average_mean_Y               -0.016735940
3 18 average_mean_Y               -0.016866692
3 19 average_mean_Y               -0.014594228
3 20 average_mean_Y               -0.009641208
3 21 average_mean_Y               -0.017319539
3 22 average_mean_Y               -0.019799937
3 23 average_mean_Y               -0.016211146
3 24 average_mean_Y               -0.014573035
3 25 average_mean_Y               -0.021017052
3 26 average_mean_Y               -0.012625810
3 27 average_mean_Y               -0.013556447
3 28 average_mean_Y               -0.022023047
3 29 average_mean_Y               -0.014941215
3 30 average_mean_Y               -0.017438390
4  1 average_mean_Y               -0.001308288
4  2 average_mean_Y               -0.015687994
4  3 average_mean_Y               -0.003502998
4  4 average_mean_Y               -0.007163065
4  5 average_mean_Y               -0.009900835
4  6 average_mean_Y               -0.014591162
4  7 average_mean_Y               -0.014610976
4  8 average_mean_Y               -0.006725506
4  9 average_mean_Y               -0.027016777
4 10 average_mean_Y               -0.015042682
4 11 average_mean_Y               -0.014919562
4 12 average_mean_Y               -0.015789299
4 13 average_mean_Y               -0.005877329
4 14 average_mean_Y               -0.008705655
4 15 average_mean_Y               -0.011718847
4 16 average_mean_Y               -0.010249794
4 17 average_mean_Y               -0.014156274
4 18 average_mean_Y               -0.012869128
4 19 average_mean_Y               -0.016739260
4 20 average_mean_Y               -0.014722931
4 21 average_mean_Y               -0.014400971
4 22 average_mean_Y               -0.012346845
4 23 average_mean_Y               -0.013394502
4 24 average_mean_Y               -0.013125510
4 25 average_mean_Y               -0.014769681
4 26 average_mean_Y               -0.007133645
4 27 average_mean_Y               -0.015526980
4 28 average_mean_Y               -0.018540444
4 29 average_mean_Y               -0.016630680
4 30 average_mean_Y               -0.008047313
5  1 average_mean_Y               -0.016137590
5  2 average_mean_Y               -0.018420827
5  3 average_mean_Y               -0.014337656
5  4 average_mean_Y               -0.009489111
5  5 average_mean_Y               -0.007004186
5  6 average_mean_Y               -0.018123633
5  7 average_mean_Y               -0.014574034
5  8 average_mean_Y               -0.014811307
5  9 average_mean_Y               -0.020045495
5 10 average_mean_Y               -0.015541860
5 11 average_mean_Y               -0.017199089
5 12 average_mean_Y               -0.016900254
5 13 average_mean_Y               -0.016789199
5 14 average_mean_Y               -0.015207813
5 15 average_mean_Y               -0.018351636
5 16 average_mean_Y               -0.016599967
5 17 average_mean_Y               -0.017412006
5 18 average_mean_Y               -0.016635352
5 19 average_mean_Y               -0.015424406
5 20 average_mean_Y               -0.018069505
5 21 average_mean_Y               -0.016708473
5 22 average_mean_Y               -0.015856321
5 23 average_mean_Y               -0.017747555
5 24 average_mean_Y               -0.014478534
5 25 average_mean_Y               -0.016356973
5 26 average_mean_Y               -0.016660831
5 27 average_mean_Y               -0.016593236
5 28 average_mean_Y               -0.017263512
5 29 average_mean_Y               -0.017260587
5 30 average_mean_Y               -0.017016389
6  1 average_mean_Y               -0.040513953
6  2 average_mean_Y               -0.018158740
6  3 average_mean_Y               -0.018955679
6  4 average_mean_Y               -0.015003184
6  5 average_mean_Y               -0.018304212
6  6 average_mean_Y               -0.010252917
6  7 average_mean_Y               -0.020441152
6  8 average_mean_Y               -0.021228173
6  9 average_mean_Y               -0.020526822
6 10 average_mean_Y               -0.024294484
6 11 average_mean_Y               -0.017659805
6 12 average_mean_Y               -0.017520392
6 13 average_mean_Y               -0.020440454
6 14 average_mean_Y               -0.011342465
6 15 average_mean_Y               -0.016629654
6 16 average_mean_Y               -0.016610351
6 17 average_mean_Y               -0.016846201
6 18 average_mean_Y               -0.017393768
6 19 average_mean_Y               -0.017142686
6 20 average_mean_Y               -0.014440628
6 21 average_mean_Y               -0.018423305
6 22 average_mean_Y               -0.014262986
6 23 average_mean_Y               -0.021655384
6 24 average_mean_Y               -0.017355521
6 25 average_mean_Y               -0.018894366
6 26 average_mean_Y               -0.019189573
6 27 average_mean_Y               -0.017986761
6 28 average_mean_Y               -0.016753786
6 29 average_mean_Y               -0.017196548
6 30 average_mean_Y               -0.019449410
1  1 average_mean_Z               -0.111148104
1  2 average_mean_Z               -0.105500358
1  3 average_mean_Z               -0.112674860
1  4 average_mean_Z               -0.111403065
1  5 average_mean_Z               -0.107741776
1  6 average_mean_Z               -0.110303166
1  7 average_mean_Z               -0.110912235
1  8 average_mean_Z               -0.107252091
1  9 average_mean_Z               -0.110820512
1 10 average_mean_Z               -0.109057512
1 11 average_mean_Z               -0.106096304
1 12 average_mean_Z               -0.103161106
1 13 average_mean_Z               -0.111431456
1 14 average_mean_Z               -0.106756369
1 15 average_mean_Z               -0.107621820
1 16 average_mean_Z               -0.108804050
1 17 average_mean_Z               -0.109792122
1 18 average_mean_Z               -0.104218315
1 19 average_mean_Z               -0.122736673
1 20 average_mean_Z               -0.113539477
1 21 average_mean_Z               -0.104319332
1 22 average_mean_Z               -0.107112511
1 23 average_mean_Z               -0.113382994
1 24 average_mean_Z               -0.110595953
1 25 average_mean_Z               -0.108737636
1 26 average_mean_Z               -0.108927011
1 27 average_mean_Z               -0.112822289
1 28 average_mean_Z               -0.103714705
1 29 average_mean_Z               -0.106632427
1 30 average_mean_Z               -0.098624707
2  1 average_mean_Z               -0.097302002
2  2 average_mean_Z               -0.152513900
2  3 average_mean_Z               -0.110064863
2  4 average_mean_Z               -0.114219456
2  5 average_mean_Z               -0.107471454
2  6 average_mean_Z               -0.122082439
2  7 average_mean_Z               -0.143769689
2  8 average_mean_Z               -0.115122120
2  9 average_mean_Z               -0.125219004
2 10 average_mean_Z               -0.118180421
2 11 average_mean_Z               -0.106797216
2 12 average_mean_Z               -0.107339730
2 13 average_mean_Z               -0.125767266
2 14 average_mean_Z               -0.112279689
2 15 average_mean_Z               -0.116952465
2 16 average_mean_Z               -0.124074518
2 17 average_mean_Z               -0.121290442
2 18 average_mean_Z               -0.112655891
2 19 average_mean_Z               -0.151054608
2 20 average_mean_Z               -0.121023948
2 21 average_mean_Z               -0.125414265
2 22 average_mean_Z               -0.117550862
2 23 average_mean_Z               -0.126890617
2 24 average_mean_Z               -0.114248611
2 25 average_mean_Z               -0.126210440
2 26 average_mean_Z               -0.121943461
2 27 average_mean_Z               -0.123530438
2 28 average_mean_Z               -0.121514026
2 29 average_mean_Z               -0.118000588
2 30 average_mean_Z               -0.124697494
3  1 average_mean_Z               -0.107566191
3  2 average_mean_Z               -0.116812942
3  3 average_mean_Z               -0.116139843
3  4 average_mean_Z               -0.106777525
3  5 average_mean_Z               -0.100319931
3  6 average_mean_Z               -0.107209356
3  7 average_mean_Z               -0.096938309
3  8 average_mean_Z               -0.107598135
3  9 average_mean_Z               -0.091027879
3 10 average_mean_Z               -0.110848597
3 11 average_mean_Z               -0.111070150
3 12 average_mean_Z               -0.109555932
3 13 average_mean_Z               -0.101993942
3 14 average_mean_Z               -0.092833017
3 15 average_mean_Z               -0.110526066
3 16 average_mean_Z               -0.119873705
3 17 average_mean_Z               -0.089243275
3 18 average_mean_Z               -0.103390809
3 19 average_mean_Z               -0.133695241
3 20 average_mean_Z               -0.104602926
3 21 average_mean_Z               -0.098168662
3 22 average_mean_Z               -0.107415780
3 23 average_mean_Z               -0.098812371
3 24 average_mean_Z               -0.104818820
3 25 average_mean_Z               -0.107192377
3 26 average_mean_Z               -0.106439619
3 27 average_mean_Z               -0.112837695
3 28 average_mean_Z               -0.108588974
3 29 average_mean_Z               -0.098133998
3 30 average_mean_Z               -0.099978142
4  1 average_mean_Z               -0.104544182
4  2 average_mean_Z               -0.109218272
4  3 average_mean_Z               -0.098357920
4  4 average_mean_Z               -0.105874596
4  5 average_mean_Z               -0.108540300
4  6 average_mean_Z               -0.110127729
4  7 average_mean_Z               -0.122464598
4  8 average_mean_Z               -0.104461049
4  9 average_mean_Z               -0.075378469
4 10 average_mean_Z               -0.104253239
4 11 average_mean_Z               -0.112840218
4 12 average_mean_Z               -0.106307229
4 13 average_mean_Z               -0.097246511
4 14 average_mean_Z               -0.100401490
4 15 average_mean_Z               -0.113661253
4 16 average_mean_Z               -0.089140404
4 17 average_mean_Z               -0.113624085
4 18 average_mean_Z               -0.111904776
4 19 average_mean_Z               -0.108707654
4 20 average_mean_Z               -0.108369635
4 21 average_mean_Z               -0.112057888
4 22 average_mean_Z               -0.105827370
4 23 average_mean_Z               -0.103808679
4 24 average_mean_Z               -0.103041061
4 25 average_mean_Z               -0.109160440
4 26 average_mean_Z               -0.097444869
4 27 average_mean_Z               -0.105521913
4 28 average_mean_Z               -0.111517940
4 29 average_mean_Z               -0.110411819
4 30 average_mean_Z               -0.099515446
5  1 average_mean_Z               -0.110601818
5  2 average_mean_Z               -0.105908536
5  3 average_mean_Z               -0.101621723
5  4 average_mean_Z               -0.096157491
5  5 average_mean_Z               -0.102171096
5  6 average_mean_Z               -0.112172832
5  7 average_mean_Z               -0.099777830
5  8 average_mean_Z               -0.106114997
5  9 average_mean_Z               -0.095274748
5 10 average_mean_Z               -0.107964084
5 11 average_mean_Z               -0.108686630
5 12 average_mean_Z               -0.105527000
5 13 average_mean_Z               -0.112124138
5 14 average_mean_Z               -0.103817702
5 15 average_mean_Z               -0.105910833
5 16 average_mean_Z               -0.103657729
5 17 average_mean_Z               -0.111432146
5 18 average_mean_Z               -0.108453356
5 19 average_mean_Z               -0.109041905
5 20 average_mean_Z               -0.100402760
5 21 average_mean_Z               -0.110417856
5 22 average_mean_Z               -0.104967424
5 23 average_mean_Z               -0.110597018
5 24 average_mean_Z               -0.108222554
5 25 average_mean_Z               -0.107352958
5 26 average_mean_Z               -0.110237796
5 27 average_mean_Z               -0.107835818
5 28 average_mean_Z               -0.106579385
5 29 average_mean_Z               -0.108659067
5 30 average_mean_Z               -0.108756210
6  1 average_mean_Z               -0.113203554
6  2 average_mean_Z               -0.107245610
6  3 average_mean_Z               -0.101300478
6  4 average_mean_Z               -0.110688150
6  5 average_mean_Z               -0.107937604
6  6 average_mean_Z               -0.133119570
6  7 average_mean_Z               -0.101361037
6  8 average_mean_Z               -0.102245366
6  9 average_mean_Z               -0.107549721
6 10 average_mean_Z               -0.117168642
6 11 average_mean_Z               -0.108786578
6 12 average_mean_Z               -0.108160126
6 13 average_mean_Z               -0.104331865
6 14 average_mean_Z               -0.086833332
6 15 average_mean_Z               -0.118530240
6 16 average_mean_Z               -0.107310493
6 17 average_mean_Z               -0.107006280
6 18 average_mean_Z               -0.107698928
6 19 average_mean_Z               -0.108981462
6 20 average_mean_Z               -0.104274323
6 21 average_mean_Z               -0.103253832
6 22 average_mean_Z               -0.110800925
6 23 average_mean_Z               -0.104256776
6 24 average_mean_Z               -0.107236237
6 25 average_mean_Z               -0.100428830
6 26 average_mean_Z               -0.105002540
6 27 average_mean_Z               -0.107699733
6 28 average_mean_Z               -0.108344853
6 29 average_mean_Z               -0.109462068
6 30 average_mean_Z               -0.103658151
1  1 average_standard_deviation_X -0.283740259
1  2 average_standard_deviation_X -0.423642838
1  3 average_standard_deviation_X -0.360356726
1  4 average_standard_deviation_X -0.440829971
1  5 average_standard_deviation_X -0.294098534
1  6 average_standard_deviation_X -0.296538717
1  7 average_standard_deviation_X -0.327243241
1  8 average_standard_deviation_X -0.173605736
1  9 average_standard_deviation_X -0.238353563
1 10 average_standard_deviation_X -0.178709734
1 11 average_standard_deviation_X -0.422842072
1 12 average_standard_deviation_X -0.128898533
1 13 average_standard_deviation_X -0.346980394
1 14 average_standard_deviation_X -0.402639098
1 15 average_standard_deviation_X -0.327961801
1 16 average_standard_deviation_X -0.404692524
1 17 average_standard_deviation_X -0.319500173
1 18 average_standard_deviation_X -0.376005521
1 19 average_standard_deviation_X -0.048904941
1 20 average_standard_deviation_X -0.208342792
1 21 average_standard_deviation_X -0.297814844
1 22 average_standard_deviation_X -0.008659219
1 23 average_standard_deviation_X -0.313521773
1 24 average_standard_deviation_X -0.470762366
1 25 average_standard_deviation_X -0.596007444
1 26 average_standard_deviation_X -0.340185528
1 27 average_standard_deviation_X -0.348475561
1 28 average_standard_deviation_X -0.293003522
1 29 average_standard_deviation_X -0.174337940
1 30 average_standard_deviation_X -0.346394275
2  1 average_standard_deviation_X -0.354708025
2  2 average_standard_deviation_X -0.304376406
2  3 average_standard_deviation_X -0.313123438
2  4 average_standard_deviation_X -0.204933043
2  5 average_standard_deviation_X -0.045723778
2  6 average_standard_deviation_X -0.050135019
2  7 average_standard_deviation_X -0.294872974
2  8 average_standard_deviation_X -0.171712175
2  9 average_standard_deviation_X -0.361444378
2 10 average_standard_deviation_X -0.161591924
2 11 average_standard_deviation_X -0.238802959
2 12 average_standard_deviation_X -0.290149192
2 13 average_standard_deviation_X -0.296284597
2 14 average_standard_deviation_X -0.309396718
2 15 average_standard_deviation_X -0.026097184
2 16 average_standard_deviation_X -0.397083832
2 17 average_standard_deviation_X -0.062952754
2 18 average_standard_deviation_X -0.380168287
2 19 average_standard_deviation_X -0.128742095
2 20 average_standard_deviation_X -0.116088676
2 21 average_standard_deviation_X -0.240808282
2 22 average_standard_deviation_X  0.083573864
2 23 average_standard_deviation_X -0.243887819
2 24 average_standard_deviation_X -0.344399351
2 25 average_standard_deviation_X -0.459775646
2 26 average_standard_deviation_X -0.169006952
2 27 average_standard_deviation_X -0.295439547
2 28 average_standard_deviation_X -0.242062430
2 29 average_standard_deviation_X -0.086771557
2 30 average_standard_deviation_X -0.350504475
3  1 average_standard_deviation_X  0.030035338
3  2 average_standard_deviation_X  0.046366681
3  3 average_standard_deviation_X -0.057410048
3  4 average_standard_deviation_X  0.011193550
3  5 average_standard_deviation_X  0.275046110
3  6 average_standard_deviation_X  0.383681640
3  7 average_standard_deviation_X  0.066081560
3  8 average_standard_deviation_X  0.024139347
3  9 average_standard_deviation_X  0.213392271
3 10 average_standard_deviation_X  0.295733548
3 11 average_standard_deviation_X  0.142456557
3 12 average_standard_deviation_X  0.042408492
3 13 average_standard_deviation_X -0.068156363
3 14 average_standard_deviation_X  0.017831340
3 15 average_standard_deviation_X  0.406471051
3 16 average_standard_deviation_X  0.207251998
3 17 average_standard_deviation_X  0.187719760
3 18 average_standard_deviation_X -0.302634565
3 19 average_standard_deviation_X  0.626917071
3 20 average_standard_deviation_X  0.074509879
3 21 average_standard_deviation_X  0.224343492
3 22 average_standard_deviation_X  0.348618168
3 23 average_standard_deviation_X  0.044139284
3 24 average_standard_deviation_X -0.082732481
3 25 average_standard_deviation_X -0.253756934
3 26 average_standard_deviation_X  0.173953850
3 27 average_standard_deviation_X  0.167407531
3 28 average_standard_deviation_X  0.125712888
3 29 average_standard_deviation_X  0.167383602
3 30 average_standard_deviation_X -0.057770316
4  1 average_standard_deviation_X -0.977229008
4  2 average_standard_deviation_X -0.986822280
4  3 average_standard_deviation_X -0.971010121
4  4 average_standard_deviation_X -0.980309931
4  5 average_standard_deviation_X -0.980945022
4  6 average_standard_deviation_X -0.980164934
4  7 average_standard_deviation_X -0.972668375
4  8 average_standard_deviation_X -0.979026152
4  9 average_standard_deviation_X -0.957227791
4 10 average_standard_deviation_X -0.982901826
4 11 average_standard_deviation_X -0.982796562
4 12 average_standard_deviation_X -0.982568782
4 13 average_standard_deviation_X -0.989546275
4 14 average_standard_deviation_X -0.976302248
4 15 average_standard_deviation_X -0.987084356
4 16 average_standard_deviation_X -0.986825605
4 17 average_standard_deviation_X -0.994443905
4 18 average_standard_deviation_X -0.994347989
4 19 average_standard_deviation_X -0.976357663
4 20 average_standard_deviation_X -0.983081859
4 21 average_standard_deviation_X -0.991777287
4 22 average_standard_deviation_X -0.978466824
4 23 average_standard_deviation_X -0.987607637
4 24 average_standard_deviation_X -0.990593767
4 25 average_standard_deviation_X -0.991892829
4 26 average_standard_deviation_X -0.979768988
4 27 average_standard_deviation_X -0.988580108
4 28 average_standard_deviation_X -0.983272807
4 29 average_standard_deviation_X -0.990745020
4 30 average_standard_deviation_X -0.983622744
5  1 average_standard_deviation_X -0.995759902
5  2 average_standard_deviation_X -0.987271889
5  3 average_standard_deviation_X -0.966742543
5  4 average_standard_deviation_X -0.976920580
5  5 average_standard_deviation_X -0.968591816
5  6 average_standard_deviation_X -0.981758160
5  7 average_standard_deviation_X -0.979307570
5  8 average_standard_deviation_X -0.988815418
5  9 average_standard_deviation_X -0.975741252
5 10 average_standard_deviation_X -0.978403482
5 11 average_standard_deviation_X -0.994978879
5 12 average_standard_deviation_X -0.981243992
5 13 average_standard_deviation_X -0.991020759
5 14 average_standard_deviation_X -0.973268905
5 15 average_standard_deviation_X -0.988949247
5 16 average_standard_deviation_X -0.989076812
5 17 average_standard_deviation_X -0.991163920
5 18 average_standard_deviation_X -0.992019763
5 19 average_standard_deviation_X -0.989910997
5 20 average_standard_deviation_X -0.967209961
5 21 average_standard_deviation_X -0.981419961
5 22 average_standard_deviation_X -0.985000527
5 23 average_standard_deviation_X -0.985421520
5 24 average_standard_deviation_X -0.987255871
5 25 average_standard_deviation_X -0.991970127
5 26 average_standard_deviation_X -0.993069369
5 27 average_standard_deviation_X -0.991951584
5 28 average_standard_deviation_X -0.977748639
5 29 average_standard_deviation_X -0.996068635
5 30 average_standard_deviation_X -0.977559427
6  1 average_standard_deviation_X -0.928056469
6  2 average_standard_deviation_X -0.974059465
6  3 average_standard_deviation_X -0.982776639
6  4 average_standard_deviation_X -0.954193739
6  5 average_standard_deviation_X -0.965934510
6  6 average_standard_deviation_X -0.934049422
6  7 average_standard_deviation_X -0.936513610
6  8 average_standard_deviation_X -0.943041215
6  9 average_standard_deviation_X -0.942333090
6 10 average_standard_deviation_X -0.968283685
6 11 average_standard_deviation_X -0.984777330
6 12 average_standard_deviation_X -0.955318680
6 13 average_standard_deviation_X -0.968891989
6 14 average_standard_deviation_X -0.917501887
6 15 average_standard_deviation_X -0.972255552
6 16 average_standard_deviation_X -0.973691429
6 17 average_standard_deviation_X -0.972960567
6 18 average_standard_deviation_X -0.984527649
6 19 average_standard_deviation_X -0.965019580
6 20 average_standard_deviation_X -0.962249115
6 21 average_standard_deviation_X -0.955019866
6 22 average_standard_deviation_X -0.947735252
6 23 average_standard_deviation_X -0.956756363
6 24 average_standard_deviation_X -0.967984021
6 25 average_standard_deviation_X -0.909116474
6 26 average_standard_deviation_X -0.969445445
6 27 average_standard_deviation_X -0.978455153
6 28 average_standard_deviation_X -0.968888295
6 29 average_standard_deviation_X -0.984219556
6 30 average_standard_deviation_X -0.976362515
1  1 average_standard_deviation_Y  0.114461337
1  2 average_standard_deviation_Y -0.078091253
1  3 average_standard_deviation_Y -0.069914065
1  4 average_standard_deviation_Y -0.078826737
1  5 average_standard_deviation_Y  0.076748403
1  6 average_standard_deviation_Y  0.164213885
1  7 average_standard_deviation_Y -0.077261856
1  8 average_standard_deviation_Y  0.380782053
1  9 average_standard_deviation_Y -0.201696961
1 10 average_standard_deviation_Y -0.022743165
1 11 average_standard_deviation_Y -0.052212075
1 12 average_standard_deviation_Y -0.122783290
1 13 average_standard_deviation_Y  0.141866689
