activity subject variable mean std
1  3 BodyBodyGyroJerkMag -6.077516e-01 -0.5490870079
1  3 BodyBodyGyroMag     -5.697558e-01 -0.6326432929
1  3 BodyGyro.X          -2.564052e-02 -0.5718695602
1  3 BodyGyro.X.1        -4.378458e-01 -0.6151213698
1  3 BodyGyro.Y          -7.791509e-02 -0.5637932602
1  3 BodyGyro.Y.1        -5.615263e-01 -0.5688886734
1  3 BodyGyro.Z           8.134859e-02 -0.4766964116
1  3 BodyGyro.Z.1        -4.181262e-01 -0.5458963881
1  3 BodyGyroJerk.X      -9.523982e-02 -0.3859229860
1  3 BodyGyroJerk.Y      -3.878747e-02 -0.6390879841
1  3 BodyGyroJerk.Z      -5.036161e-02 -0.5366640803
1  3 BodyGyroJerkMag     -5.661352e-01 -0.5673715609
1  3 BodyGyroMag         -4.664118e-01 -0.5615106833
1  3 GravityAcc.X         9.365067e-01 -0.9777715914
1  3 GravityAcc.Y        -2.619864e-01 -0.9623556395
1  3 GravityAcc.Z        -1.381079e-01 -0.9520917950
1  3 GravityAccMag       -2.546903e-01 -0.3284289366
1  4 BodyAcc.X            2.785820e-01 -0.4408299713
1  4 BodyAcc.X.1         -4.267194e-01 -0.4472349297
1  4 BodyAcc.Y           -1.483995e-02 -0.0788267368
1  4 BodyAcc.Y.1         -1.493996e-01 -0.1017994506
1  4 BodyAcc.Z           -1.114031e-01 -0.5862528068
1  4 BodyAcc.Z.1         -6.310055e-01 -0.5941983257
1  4 BodyAccJerk.X        7.835291e-02 -0.2970426125
1  4 BodyAccJerk.X.1     -3.588834e-01 -0.2973260724
1  4 BodyAccJerk.Y        2.956024e-03 -0.2211651316
1  4 BodyAccJerk.Y.1     -2.795534e-01 -0.2099000063
1  4 BodyAccJerk.Z       -7.676793e-04 -0.7513913825
1  4 BodyAccJerk.Z.1     -7.289916e-01 -0.7723590873
1  4 BodyAccJerkMag      -3.667009e-01 -0.3169189560
1  4 BodyAccMag          -3.120506e-01 -0.5276791032
1  4 BodyAccMag.1        -4.508046e-01 -0.6511726282
1  4 BodyBodyAccJerkMag  -3.185878e-01 -0.3204587010
1  4 BodyBodyGyroJerkMag -7.243274e-01 -0.7577680812
1  4 BodyBodyGyroMag     -6.092856e-01 -0.5939372008
1  4 BodyGyro.X          -3.179826e-02 -0.5009166590
1  4 BodyGyro.X.1        -3.733845e-01 -0.5426467590
1  4 BodyGyro.Y          -7.269053e-02 -0.6653940928
1  4 BodyGyro.Y.1        -6.884601e-01 -0.6546577702
1  4 BodyGyro.Z           8.056772e-02 -0.6626082260
1  4 BodyGyro.Z.1        -6.013811e-01 -0.7164584752
1  4 BodyGyroJerk.X      -1.153216e-01 -0.4923410668
1  4 BodyGyroJerk.Y      -3.934745e-02 -0.8074199370
1  4 BodyGyroJerk.Z      -5.511669e-02 -0.6404541328
1  4 BodyGyroJerkMag     -6.813040e-01 -0.7301463685
1  4 BodyGyroMag         -4.977922e-01 -0.5531161112
1  4 GravityAcc.X         9.639997e-01 -0.9838264948
1  4 GravityAcc.Y        -8.585403e-02 -0.9679632210
1  4 GravityAcc.Z         1.277641e-01 -0.9629681120
1  4 GravityAccMag       -3.120506e-01 -0.5276791032
1  5 BodyAcc.X            2.778423e-01 -0.2940985342
1  5 BodyAcc.X.1         -2.877826e-01 -0.2975173552
1  5 BodyAcc.Y           -1.728503e-02  0.0767484028
1  5 BodyAcc.Y.1          9.460378e-03  0.0426026831
1  5 BodyAcc.Z           -1.077418e-01 -0.4570214363
1  5 BodyAcc.Z.1         -4.902511e-01 -0.4830599573
1  5 BodyAccJerk.X        8.458888e-02 -0.3028910246
1  5 BodyAccJerk.X.1     -3.449548e-01 -0.3213903195
1  5 BodyAccJerk.Y       -1.631941e-02 -0.0910397429
1  5 BodyAccJerk.Y.1     -1.810556e-01 -0.0545213604
1  5 BodyAccJerk.Z        8.321594e-05 -0.6128953186
1  5 BodyAccJerk.Z.1     -5.904966e-01 -0.6334299957
1  5 BodyAccJerkMag      -2.883330e-01 -0.2822422768
1  5 BodyAccMag          -1.583387e-01 -0.3771787334
1  5 BodyAccMag.1        -3.049925e-01 -0.5196369261
1  5 BodyBodyAccJerkMag  -2.694817e-01 -0.3056853761
1  5 BodyBodyGyroJerkMag -5.480536e-01 -0.4556653009
1  5 BodyBodyGyroMag     -4.842628e-01 -0.5897415068
1  5 BodyGyro.X          -4.889199e-02 -0.4908774979
1  5 BodyGyro.X.1        -3.726687e-01 -0.5293927902
1  5 BodyGyro.Y          -6.901352e-02 -0.5046220298
1  5 BodyGyro.Y.1        -5.139517e-01 -0.5026833805
1  5 BodyGyro.Z           8.154355e-02 -0.3187006152
1  5 BodyGyro.Z.1        -2.131270e-01 -0.4203670752
1  5 BodyGyroJerk.X      -8.884084e-02 -0.3576814033
1  5 BodyGyroJerk.Y      -4.495595e-02 -0.5714381238
1  5 BodyGyroJerk.Z      -4.826796e-02 -0.1576825440
1  5 BodyGyroJerkMag     -4.445325e-01 -0.4891997463
1  5 BodyGyroMag         -3.559331e-01 -0.4921768236
1  5 GravityAcc.X         9.726250e-01 -0.9793483814
1  5 GravityAcc.Y        -1.004403e-01 -0.9615854748
1  5 GravityAcc.Z         2.476236e-03 -0.9645808039
1  5 GravityAccMag       -1.583387e-01 -0.3771787334
1  6 BodyAcc.X            2.836589e-01 -0.2965387174
1  6 BodyAcc.X.1         -1.879343e-01 -0.3452276900
1  6 BodyAcc.Y           -1.689542e-02  0.1642138850
1  6 BodyAcc.Y.1          1.407816e-01  0.1016996422
1  6 BodyAcc.Z           -1.103032e-01 -0.5043242072
1  6 BodyAcc.Z.1         -4.985202e-01 -0.5504746218
1  6 BodyAccJerk.X        6.995859e-02 -0.1327847669
1  6 BodyAccJerk.X.1     -1.509429e-01 -0.1926946941
1  6 BodyAccJerk.Y       -1.648317e-02  0.0080889737
1  6 BodyAccJerk.Y.1     -7.537423e-02  0.0314450678
1  6 BodyAccJerk.Z       -7.389312e-03 -0.5757774665
1  6 BodyAccJerk.Z.1     -5.414386e-01 -0.6086243542
1  6 BodyAccJerkMag      -1.951170e-01 -0.0706029648
1  6 BodyAccMag          -1.668407e-01 -0.2667341674
1  6 BodyAccMag.1        -2.013866e-01 -0.4216830935
1  6 BodyBodyAccJerkMag  -5.540142e-02 -0.0964999703
1  6 BodyBodyGyroJerkMag -3.665005e-01 -0.4080789065
1  6 BodyBodyGyroMag     -3.296811e-01 -0.5106483226
1  6 BodyGyro.X          -2.550962e-02 -0.4460209526
1  6 BodyGyro.X.1        -2.396507e-01 -0.5153238544
1  6 BodyGyro.Y          -7.444625e-02 -0.3317022679
1  6 BodyGyro.Y.1        -3.413784e-01 -0.3320087068
1  6 BodyGyro.Z           8.388088e-02 -0.3831393347
1  6 BodyGyro.Z.1        -2.035755e-01 -0.5122092335
1  6 BodyGyroJerk.X      -8.788911e-02 -0.1826009335
1  6 BodyGyroJerk.Y      -3.623090e-02 -0.4163902461
1  6 BodyGyroJerk.Z      -5.395973e-02 -0.1666844222
1  6 BodyGyroJerkMag     -3.212905e-01 -0.3647083423
1  6 BodyGyroMag         -2.812078e-01 -0.3656029168
1  6 GravityAcc.X         9.580675e-01 -0.9777798965
1  6 GravityAcc.Y        -2.146949e-01 -0.9642485681
1  6 GravityAcc.Z         3.318888e-02 -0.9572050258
1  6 GravityAccMag       -1.668407e-01 -0.2667341674
1  7 BodyAcc.X            2.755930e-01 -0.3272432407
1  7 BodyAcc.X.1         -3.430484e-01 -0.3220349081
1  7 BodyAcc.Y           -1.865367e-02 -0.0772618561
1  7 BodyAcc.Y.1         -6.415642e-02 -0.1437218233
1  7 BodyAcc.Z           -1.109122e-01  0.1596312833
1  7 BodyAcc.Z.1          3.858323e-02  0.1333168281
1  7 BodyAccJerk.X        9.014626e-02 -0.3460262261
1  7 BodyAccJerk.X.1     -3.837158e-01 -0.3653147909
1  7 BodyAccJerk.Y        1.843227e-02 -0.0547448948
1  7 BodyAccJerk.Y.1     -1.231929e-01 -0.0431917461
1  7 BodyAccJerk.Z       -2.103986e-02 -0.1494885144
1  7 BodyAccJerk.Z.1     -1.064904e-01 -0.1907515392
1  7 BodyAccJerkMag      -1.929489e-01 -0.0275573293
1  7 BodyAccMag          -9.780904e-02 -0.1985547084
1  7 BodyAccMag.1        -1.512436e-01 -0.3517067805
1  7 BodyBodyAccJerkMag  -3.841873e-02 -0.0221383580
1  7 BodyBodyGyroJerkMag -1.553399e-01 -0.0841663774
1  7 BodyBodyGyroMag     -1.929098e-01 -0.3438949149
1  7 BodyGyro.X           2.288352e-03 -0.5033135170
1  7 BodyGyro.X.1        -3.183951e-01 -0.5636152567
1  7 BodyGyro.Y          -8.371137e-02 -0.2310983055
1  7 BodyGyro.Y.1        -1.519667e-01 -0.2908593790
1  7 BodyGyro.Z           6.411046e-02 -0.3960135353
1  7 BodyGyro.Z.1        -3.667336e-01 -0.4632700182
1  7 BodyGyroJerk.X      -1.236542e-01 -0.2116672968
1  7 BodyGyroJerk.Y      -4.477660e-02 -0.1741364107
1  7 BodyGyroJerk.Z      -4.957131e-02 -0.4583029714
1  7 BodyGyroJerkMag     -3.000228e-01 -0.0953401161
1  7 BodyGyroMag         -3.059594e-01 -0.1982831670
1  7 GravityAcc.X         9.325665e-01 -0.9798512714
1  7 GravityAcc.Y        -1.590970e-01 -0.9694041551
1  7 GravityAcc.Z        -1.608469e-01 -0.9521597705
1  7 GravityAccMag       -9.780904e-02 -0.1985547084
1  8 BodyAcc.X            2.746863e-01 -0.1736057360
1  8 BodyAcc.X.1         -2.473890e-01 -0.1483868589
1  8 BodyAcc.Y           -1.866289e-02  0.3807820527
1  8 BodyAcc.Y.1          3.169824e-01  0.3248449313
1  8 BodyAcc.Z           -1.072521e-01 -0.1420885318
1  8 BodyAcc.Z.1         -2.386346e-01 -0.1584373420
1  8 BodyAccJerk.X        7.033935e-02 -0.2586886278
1  8 BodyAccJerk.X.1     -3.111987e-01 -0.2714481853
1  8 BodyAccJerk.Y       -6.039475e-03  0.2339875445
1  8 BodyAccJerk.Y.1      7.968329e-02  0.3158835365
1  8 BodyAccJerk.Z       -6.737989e-04 -0.3832005965
1  8 BodyAccJerk.Z.1     -3.615633e-01 -0.4044825094
1  8 BodyAccJerkMag      -6.683224e-02 -0.1845710540
1  8 BodyAccMag           5.167863e-02 -0.1804072826
1  8 BodyAccMag.1        -9.521728e-02 -0.3608189785
1  8 BodyBodyAccJerkMag  -1.238344e-01 -0.2764361301
1  8 BodyBodyGyroJerkMag -4.730262e-01 -0.5812401908
1  8 BodyBodyGyroMag     -3.012418e-01 -0.3274595779
1  8 BodyGyro.X           2.350882e-02 -0.1992097184
1  8 BodyGyro.X.1        -1.020631e-01 -0.2342520059
1  8 BodyGyro.Y          -9.579179e-02 -0.2119972775
1  8 BodyGyro.Y.1        -2.597297e-01 -0.1908057215
1  8 BodyGyro.Z           5.096579e-02 -0.0754447842
1  8 BodyGyro.Z.1        -1.329022e-01 -0.1429742348
1  8 BodyGyroJerk.X      -1.358864e-01 -0.2460827504
1  8 BodyGyroJerk.Y      -3.148809e-02 -0.4280557002
1  8 BodyGyroJerk.Z      -5.226840e-02 -0.3884469717
1  8 BodyGyroJerkMag     -3.391293e-01 -0.5029572554
1  8 BodyGyroMag         -3.102438e-03 -0.2387467040
1  8 GravityAcc.X         9.135863e-01 -0.9747520502
1  8 GravityAcc.Y        -2.171022e-01 -0.9567815056
1  8 GravityAcc.Z        -1.862678e-01 -0.9566401048
1  8 GravityAccMag        5.167863e-02 -0.1804072826
1  9 BodyAcc.X            2.785028e-01 -0.2383535627
1  9 BodyAcc.X.1         -2.947112e-01 -0.2180199774
1  9 BodyAcc.Y           -1.808920e-02 -0.2016969608
1  9 BodyAcc.Y.1         -2.576776e-01 -0.2239725586
1  9 BodyAcc.Z           -1.108205e-01 -0.0579636469
1  9 BodyAcc.Z.1         -2.508063e-01 -0.0337965257
1  9 BodyAccJerk.X        7.043573e-02 -0.2067337880
1  9 BodyAccJerk.X.1     -3.142654e-01 -0.1702283401
1  9 BodyAccJerk.Y        2.122559e-02 -0.2769299338
1  9 BodyAccJerk.Y.1     -3.677066e-01 -0.2283804735
1  9 BodyAccJerk.Z        4.147627e-03 -0.4097645262
1  9 BodyAccJerk.Z.1     -3.995412e-01 -0.4191043629
1  9 BodyAccJerkMag      -2.037336e-01 -0.3171134871
1  9 BodyAccMag          -9.808405e-02 -0.3794287700
1  9 BodyAccMag.1        -3.188010e-01 -0.5138919533
1  9 BodyBodyAccJerkMag  -3.168707e-01 -0.3223375367
1  9 BodyBodyGyroJerkMag -6.025816e-01 -0.6243519237
1  9 BodyBodyGyroMag     -5.137975e-01 -0.5627145287
1  9 BodyGyro.X          -8.083606e-02 -0.4761635067
1  9 BodyGyro.X.1        -3.836761e-01 -0.5074045127
1  9 BodyGyro.Y          -6.255987e-02 -0.4670541679
1  9 BodyGyro.Y.1        -4.369059e-01 -0.4909903363
1  9 BodyGyro.Z           1.116298e-01 -0.2656835213
1  9 BodyGyro.Z.1        -2.402225e-01 -0.3423672233
1  9 BodyGyroJerk.X      -8.092041e-02 -0.5269853090
1  9 BodyGyroJerk.Y      -3.562834e-02 -0.5492002281
1  9 BodyGyroJerk.Z      -6.334066e-02 -0.4578814940
1  9 BodyGyroJerkMag     -5.102540e-01 -0.5998664727
1  9 BodyGyroMag         -2.945423e-01 -0.4897258115
1  9 GravityAcc.X         9.518671e-01 -0.9809719737
1  9 GravityAcc.Y        -3.143417e-02 -0.9712424231
1  9 GravityAcc.Z        -1.158561e-01 -0.9555239956
1  9 GravityAccMag       -9.808405e-02 -0.3794287700
1 10 BodyAcc.X            2.785741e-01 -0.1787097344
1 10 BodyAcc.X.1         -1.141900e-01 -0.2063664972
1 10 BodyAcc.Y           -1.702235e-02 -0.0227431652
1 10 BodyAcc.Y.1          5.339119e-02 -0.1297757063
1 10 BodyAcc.Z           -1.090575e-01 -0.3956450721
1 10 BodyAcc.Z.1         -4.121827e-01 -0.4353042157
1 10 BodyAccJerk.X        8.579438e-02 -0.0521991013
1 10 BodyAccJerk.X.1     -1.079411e-01 -0.0791518267
1 10 BodyAccJerk.Y        4.082488e-03  0.0750804952
1 10 BodyAccJerk.Y.1      3.090520e-02  0.0484867672
1 10 BodyAccJerk.Z       -1.629532e-02 -0.5116629058
1 10 BodyAccJerk.Z.1     -4.640205e-01 -0.5585126502
1 10 BodyAccJerkMag      -1.326250e-01  0.0376083380
1 10 BodyAccMag          -1.274009e-01 -0.1856023961
1 10 BodyAccMag.1        -9.302374e-02 -0.3704719440
1 10 BodyBodyAccJerkMag   2.051895e-02  0.0502087635
1 10 BodyBodyGyroJerkMag -5.150653e-01 -0.5176757991
1 10 BodyBodyGyroMag     -4.126169e-01 -0.4997597970
1 10 BodyGyro.X           1.068950e-02 -0.4142054753
1 10 BodyGyro.X.1        -2.779138e-01 -0.4582929328
1 10 BodyGyro.Y          -8.195408e-02 -0.2508533187
1 10 BodyGyro.Y.1        -3.452090e-01 -0.2043928216
1 10 BodyGyro.Z           9.866957e-02 -0.1745248686
1 10 BodyGyro.Z.1        -1.085300e-01 -0.2732928662
1 10 BodyGyroJerk.X      -1.227096e-01 -0.3660637232
1 10 BodyGyroJerk.Y      -5.192050e-02 -0.5096833279
1 10 BodyGyroJerk.Z      -6.112629e-02 -0.3290794926
1 10 BodyGyroJerkMag     -4.403636e-01 -0.5010279166
1 10 BodyGyroMag         -1.564587e-01 -0.4020251357
1 10 GravityAcc.X         9.630921e-01 -0.9744351581
1 10 GravityAcc.Y        -8.382770e-02 -0.9711147198
1 10 GravityAcc.Z         5.492762e-02 -0.9578627283
1 10 GravityAccMag       -1.274009e-01 -0.1856023961
1 11 BodyAcc.X            2.718219e-01 -0.4228420719
1 11 BodyAcc.X.1         -3.965337e-01 -0.4337033115
1 11 BodyAcc.Y           -1.664758e-02 -0.0522120750
1 11 BodyAcc.Y.1         -8.304784e-02 -0.0966068285
1 11 BodyAcc.Z           -1.060963e-01 -0.5306263114
1 11 BodyAcc.Z.1         -6.164029e-01 -0.5230933949
1 11 BodyAccJerk.X        8.297093e-02 -0.4285163436
1 11 BodyAccJerk.X.1     -4.532653e-01 -0.4539430400
1 11 BodyAccJerk.Y        1.276825e-02 -0.1814192303
1 11 BodyAccJerk.Y.1     -2.418017e-01 -0.1701774031
1 11 BodyAccJerk.Z       -1.336483e-02 -0.7206547312
1 11 BodyAccJerk.Z.1     -6.925939e-01 -0.7475646120
1 11 BodyAccJerkMag      -4.023332e-01 -0.4031412847
1 11 BodyAccMag          -2.883235e-01 -0.4877359151
1 11 BodyAccMag.1        -4.585141e-01 -0.5844559920
1 11 BodyBodyAccJerkMag  -3.951161e-01 -0.4174468156
1 11 BodyBodyGyroJerkMag -7.519145e-01 -0.7735740647
1 11 BodyBodyGyroMag     -6.102226e-01 -0.5997454378
1 11 BodyGyro.X          -4.269290e-02 -0.5963469308
1 11 BodyGyro.X.1        -5.147533e-01 -0.6231502690
1 11 BodyGyro.Y          -7.051050e-02 -0.4996252873
1 11 BodyGyro.Y.1        -5.931074e-01 -0.4536631841
1 11 BodyGyro.Z           8.437445e-02 -0.4341782025
1 11 BodyGyro.Z.1        -3.982933e-01 -0.4985546395
1 11 BodyGyroJerk.X      -9.182042e-02 -0.5416163971
1 11 BodyGyroJerk.Y      -5.141725e-02 -0.7379937559
1 11 BodyGyroJerk.Z      -3.426775e-02 -0.5510799425
1 11 BodyGyroJerkMag     -6.307327e-01 -0.7536714161
1 11 BodyGyroMag         -4.218017e-01 -0.5583627832
1 11 GravityAcc.X         9.464685e-01 -0.9811010144
1 11 GravityAcc.Y        -2.120459e-01 -0.9662405536
1 11 GravityAcc.Z         1.340532e-01 -0.9608526841
1 11 GravityAccMag       -2.883235e-01 -0.4877359151
1 12 BodyAcc.X            2.771287e-01 -0.1288985331
1 12 BodyAcc.X.1         -5.435764e-02 -0.1607072606
1 12 BodyAcc.Y           -1.556093e-02 -0.1227832900
1 12 BodyAcc.Y.1         -7.130246e-02 -0.2085152801
1 12 BodyAcc.Z           -1.031611e-01 -0.4106060626
1 12 BodyAcc.Z.1         -4.223253e-01 -0.4521466944
1 12 BodyAccJerk.X        4.576440e-02 -0.0135066111
1 12 BodyAccJerk.X.1     -8.161980e-02 -0.0310592946
1 12 BodyAccJerk.Y        1.977669e-02 -0.0894049686
1 12 BodyAccJerk.Y.1     -1.413741e-01 -0.0940564084
1 12 BodyAccJerk.Z        5.025870e-03 -0.5122768380
1 12 BodyAccJerk.Z.1     -4.913862e-01 -0.5314863218
1 12 BodyAccJerkMag      -1.440649e-01 -0.0202850504
1 12 BodyAccMag          -1.022046e-01 -0.2369728688
1 12 BodyAccMag.1        -1.531160e-01 -0.4088962994
1 12 BodyBodyAccJerkMag  -2.991243e-02 -0.0139539087
1 12 BodyBodyGyroJerkMag -5.611764e-01 -0.5649340126
1 12 BodyBodyGyroMag     -4.425038e-01 -0.4948022154
1 12 BodyGyro.X          -1.045137e-01 -0.5462634706
1 12 BodyGyro.X.1        -4.019759e-01 -0.5931428818
1 12 BodyGyro.Y          -3.442911e-02 -0.4494013978
1 12 BodyGyro.Y.1        -4.678863e-01 -0.4437983296
1 12 BodyGyro.Z           9.997391e-02 -0.3501702866
1 12 BodyGyro.Z.1        -3.172825e-01 -0.4222565212
1 12 BodyGyroJerk.X      -6.223893e-02 -0.3908072382
1 12 BodyGyroJerk.Y      -4.985260e-02 -0.5812906910
1 12 BodyGyroJerk.Z      -4.673382e-02 -0.4806421996
1 12 BodyGyroJerkMag     -5.174938e-01 -0.5488904506
1 12 BodyGyroMag         -3.559304e-01 -0.4132083408
1 12 GravityAcc.X         9.668735e-01 -0.9791131200
1 12 GravityAcc.Y        -1.559834e-01 -0.9646191738
1 12 GravityAcc.Z        -3.608429e-02 -0.9502762272
1 12 GravityAccMag       -1.022046e-01 -0.2369728688
1 13 BodyAcc.X            2.758831e-01 -0.3469803942
1 13 BodyAcc.X.1         -3.350301e-01 -0.3532998489
1 13 BodyAcc.Y           -1.856607e-02  0.1418666894
1 13 BodyAcc.Y.1          9.551507e-02  0.0921968931
1 13 BodyAcc.Z           -1.114315e-01 -0.2205035370
1 13 BodyAcc.Z.1         -2.468515e-01 -0.2698963953
1 13 BodyAccJerk.X        8.095902e-02 -0.2209100680
1 13 BodyAccJerk.X.1     -2.904608e-01 -0.2197161598
1 13 BodyAccJerk.Y        3.083645e-03  0.0565488772
1 13 BodyAccJerk.Y.1     -4.391951e-02  0.0946741597
1 13 BodyAccJerk.Z        5.972490e-03 -0.3746331721
1 13 BodyAccJerk.Z.1     -3.422637e-01 -0.4061733516
1 13 BodyAccJerkMag      -1.332050e-01 -0.1317885288
1 13 BodyAccMag          -1.356439e-01 -0.2925463770
1 13 BodyAccMag.1        -2.346009e-01 -0.4383889532
1 13 BodyBodyAccJerkMag  -1.521115e-01 -0.1135919237
1 13 BodyBodyGyroJerkMag -3.385271e-01 -0.3492856111
1 13 BodyBodyGyroMag     -2.674724e-01 -0.3799518354
1 13 BodyGyro.X          -1.742076e-02 -0.3760599142
1 13 BodyGyro.X.1        -1.928565e-01 -0.4357147105
1 13 BodyGyro.Y          -7.984725e-02 -0.2900235503
1 13 BodyGyro.Y.1        -2.562136e-01 -0.3186185061
1 13 BodyGyro.Z           7.842056e-02 -0.3633699481
1 13 BodyGyro.Z.1        -2.766080e-01 -0.4553339005
1 13 BodyGyroJerk.X      -9.665986e-02 -0.2168120653
1 13 BodyGyroJerk.Y      -3.198493e-02 -0.3577608998
1 13 BodyGyroJerk.Z      -6.366932e-02 -0.3417658245
1 13 BodyGyroJerkMag     -3.035082e-01 -0.3221183798
1 13 BodyGyroMag         -2.186696e-01 -0.2532400720
1 13 GravityAcc.X         9.108557e-01 -0.9725449225
1 13 GravityAcc.Y        -2.836586e-01 -0.9608998456
1 13 GravityAcc.Z        -1.312997e-01 -0.9486375877
1 13 GravityAccMag       -1.356439e-01 -0.2925463770
1 14 BodyAcc.X            2.719596e-01 -0.4026390981
1 14 BodyAcc.X.1         -4.214982e-01 -0.3958599858
1 14 BodyAcc.Y           -2.177854e-02 -0.0536126687
1 14 BodyAcc.Y.1         -1.746018e-01 -0.0542709972
1 14 BodyAcc.Z           -1.067564e-01  0.0518841040
1 14 BodyAcc.Z.1         -1.773664e-01  0.0854892137
1 14 BodyAccJerk.X        7.208779e-02 -0.4544970197
1 14 BodyAccJerk.X.1     -4.723606e-01 -0.4847977098
1 14 BodyAccJerk.Y        2.411602e-02 -0.3443395692
